Reference,Qty,Description,Part Number,Manufacturer,Digikey
IC1,1,IC REG LINEAR 3.3V 800MA SOT223,LD1117S33TR,STMicroelectronics,497-1242-1-ND
IC2,1,IC MCU 8BIT 32KB FLASH 44TQFP,ATMEGA32U4-AU,Microchip Technology,ATMEGA32U4-AU-ND
IC3,1,IC BUF NON-INVERT 3.6V 14TSSOP,"74LVC125APW,118",Nexperia USA Inc.,1727-3092-1-ND
J1,1,Female Pin Header,PPTC072LFBN-RC,Female Pin Header Generic 2x7 0.1in,S7075-ND
J2,1,"MICRO SD PUSH-PUSH, SMT, 1.40MM",MEM2075-00-140-01-A,GCT,2073-MEM2075-00-140-01-ACT-ND
"C1, C2, C6",3,CAP CER 0.1UF 50V Y5V 0805,CC0805ZRY5V9BB104,Capacitor Generic,311-1361-1-ND
C3,1,CAP CER 10UF 6.3V X5R 0603,JMK107ABJ106MA-T,Capacitor Generic,587-5869-1-ND
"C4, C5",2,CAP CER 22PF 10V C0G/NP0 0805,885012007002,Capacitor Generic,732-7807-1-ND
"C7, C8",2,CAP CER 1UF 25V X7R 0805,CC0805KFX7R8BB105,Capacitor Generic,13-CC0805KFX7R8BB105CT-ND
"R1, R4",2,RES 10K OHM 1% 1/4W 0805,RNCP0805FTD10K0,Resistor Generic,RNCP0805FTD10K0CT-ND
"R2, R3",2,RES 1K OHM 1% 1/4W 0805,RNCP0805FTD1K00,Resistor Generic,RNCP0805FTD1K00CT-ND
"R5, R6",2,RES 22 OHM 1% 1/4W 0805,RK73H2ATTD22R0F,Resistor Generic,2019-RK73H2ATTD22R0FCT-ND
"R7, R8, R9, R10",4,RES 3.3K OHM 1% 1/8W 0805,RC0805FR-103K3L,Resistor Generic,13-RC0805FR-103K3LCT-ND
GLED,1,LED GREEN DIFFUSED 0805 SMD,LG R971-KN-1,OSRAM Opto (ams OSRAM),475-1410-1-ND
RLED,1,LED RED DIFFUSED 0805 SMD,LS R976-NR-1,OSRAM Opto (ams OSRAM),475-1278-1-ND
F1,1,PTC RESET FUSE 6V 500MA 0805,PTS08056V050,Eaton - Electronics Division,283-PTS08056V050CT-ND
S2,1,Tactile Switch SPST-NO Top Actuated Surface Mount,TS04-66-70-BK-100-SMT,CUI Devices,2223-TS04-66-70-BK-100-SMT-ND
Y1,1,CRYSTAL 16.0000MHZ 16PF SMD,TSX-3225 16.0000MF10U-B3,EPSON,SER4371CT-ND
